company,cc,market_cap_usd,revenue_usd,employees,ticker
Roche Holding AG,CH,299517800000,71144800000,103249,ROG.SW
Nestlé SA,CH,250464500000,101575700000,271000,NESN.SW
ABB Ltd,CH,165499800000,33220000000,112700,ABBN.SW
UBS Group AG,CH,133110000000,49600000000,101594,UBSG.SW
Compagnie Financière Richemont SA,CH,129904800000,25334600000,39601,CFR.SW
Zurich Insurance Group AG,CH,104378100000,73080000000,63000,ZURN.SW
Holcim Limited,CH,46510800000,17763600000,46055,HOLN.SW
Swiss Reinsurance Company Ltd,CH,43697100000,42600000000,15238,SREN.SW
Lonza Group AG,CH,42329800000,7763100000,20000,LONN.SW
Swisscom AG,CH,36589400000,17006500000,23073,SCMN.SW
Givaudan SA,CH,35278600000,8373300000,17580,GIVN.SW
Alcon Inc,CH,30250100000,8530000000,25000,ALC.SW
Sika AG,CH,28577700000,12656000000,30629,SIKA.SW
Amrize AG,CH,25221600000,9550000000,19000,AMRZ.SW
Swiss Life Holding AG,CH,29945000000,13232300000,12313,SLHN.SW
Kuehne + Nagel,CH,27911000000,27662400000,80141,KNIN.SW
Geberit AG,CH,19289100000,3570800000,9925,GEBN.SW
Partners Group Holding AG,CH,19582900000,2881500000,2027,PGHN.SW
Logitech International SA,CH,13842500000,4840000000,7300,LOGN.SW
Adidas,DE,33814800000,27270000000,64938,ADS.DE
Airbus,DE,177098400000,79293600000,166876,AIR.DE
Allianz,DE,173037600000,122223600000,138378,ALV.DE
BASF,DE,45543600000,63903600000,106428,BAS.DE
Bayer,DE,49831200000,48859200000,87757,BAYN.DE
Beiersdorf,DE,18576000000,10638000000,22399,BEI.DE
BMW,DE,37810800000,141156000000,154540,BMW.DE
Brenntag,DE,9212400000,16383600000,17300,BNR.DE
Commerzbank,DE,42400800000,12528000000,40144,CBK.DE
Continental,DE,15357600000,20703600000,22076,CON.DE
Daimler Truck,DE,36126000000,49172400000,108655,DTG.DE
Deutsche Bank,DE,63255600000,32216400000,90067,DBK.DE
Deutsche Börse,DE,49917600000,8391600000,16475,DB1.DE
Deutsche Post,DE,68266800000,89683200000,579479,DHL.DE
Deutsche Telekom,DE,141177600000,131706000000,196586,DTE.DE
E.ON,DE,55339200000,86875200000,78996,EOAN.DE
Fresenius,DE,26503200000,24699600000,177783,FRE.DE
Fresenius Medical Care,DE,12258000000,21200400000,108165,FME.DE
GEA Group,DE,11005200000,5950800000,19670,G1A.DE
Hannover Re,DE,32324400000,27993600000,4245,HNR1.DE
Heidelberg Materials,DE,32421600000,23274000000,48973,HEI.DE
Henkel,DE,31762800000,22140000000,42200,HEN3.DE
Infineon Technologies,DE,97966800000,16329600000,56500,IFX.DE
Mercedes-Benz Group,DE,44776800000,142786800000,164120,MBG.DE
Merck,DE,64281600000,22636800000,59077,MRK.DE
MTU Aero Engines,DE,19807200000,9460800000,13674,MTX.DE
Munich Re,DE,68428800000,67294800000,44369,MUV2.DE
Porsche SE,DE,9190800000,,46,PAH3.DE
Qiagen,DE,7938000000,2090000000,5500,QIA.DE
Rheinmetall,DE,50662800000,10875600000,28815,RHM.DE
RWE,DE,44949600000,19828800000,19969,RWE.DE
SAP,DE,175950000000,43060000000,111397,SAP.DE
Scout24,DE,5162400000,722984400,1111,G24.DE
Siemens,DE,225169200000,86076000000,317000,SIE.DE
Siemens Energy,DE,140713200000,43351200000,103000,ENR.DE
Siemens Healthineers,DE,41569200000,24915600000,73800,SHL.DE
Symrise,DE,13014000000,5324400000,12971,SY1.DE
Volkswagen Group,DE,40100400000,347662800000,598592,VOW3.DE
Vonovia,DE,19094400000,6415200000,12898,VNA.DE
Zalando,DE,7344000000,13953600000,16998,ZAL.DE
