PKO Bank Polski	PL	WIG20	Banks
PKN Orlen	PL	WIG20	Energy
Bank Pekao	PL	WIG20	Banks
KGHM Polska Miedź	PL	WIG20	Mining
PZU	PL	WIG20	Insurance
LPP	PL	WIG20	Retail
Santander Bank Polska	PL	WIG20	Banks
Allegro	PL	WIG20	E-commerce
CD Projekt	PL	WIG20	Software & Gaming
Dino Polska	PL	WIG20	Retail
mBank	PL	WIG20	Banks
Żabka Group	PL	WIG20	Retail
Alior Bank	PL	WIG20	Banks
Grupa Kęty	PL	WIG20	Industrials
Tauron	PL	WIG20	Utilities
PGE	PL	WIG20	Utilities
Budimex	PL	WIG20	Construction
Kruk	PL	WIG20	Financial Services
Pepco Group	PL	WIG20	Retail
Grupa Modivo	PL	WIG20	Retail
