Accor	FR	CAC40	Consumer Services
Air Liquide	FR	CAC40	Basic Materials
Airbus	FR	CAC40	Industrials
ArcelorMittal	FR	CAC40	Basic Materials
Axa	FR	CAC40	Insurance
BNP Paribas	FR	CAC40	Financial Services
Bouygues	FR	CAC40	Industrials
Bureau Veritas	FR	CAC40	Professional Services
Capgemini	FR	CAC40	Technology
Carrefour	FR	CAC40	Consumer Defensive
Crédit Agricole	FR	CAC40	Financial Services
Danone	FR	CAC40	Consumer Defensive
Dassault Systèmes	FR	CAC40	Technology
Edenred	FR	CAC40	Financial Services
Engie	FR	CAC40	Utilities
EssilorLuxottica	FR	CAC40	Healthcare
Eurofins Scientific	FR	CAC40	Healthcare
Hermès	FR	CAC40	Consumer Cyclical
Kering	FR	CAC40	Consumer Cyclical
L'Oréal	FR	CAC40	Consumer Defensive
Legrand	FR	CAC40	Industrials
LVMH	FR	CAC40	Consumer Cyclical
Michelin	FR	CAC40	Industrials
Orange	FR	CAC40	Telecom
Pernod Ricard	FR	CAC40	Consumer Defensive
Publicis	FR	CAC40	Media
Renault	FR	CAC40	Consumer Cyclical
Safran	FR	CAC40	Industrials
Saint-Gobain	FR	CAC40	Industrials
Sanofi	FR	CAC40	Healthcare
Schneider Electric	FR	CAC40	Industrials
Société Générale	FR	CAC40	Financial Services
Stellantis	FR	CAC40	Consumer Cyclical
STMicroelectronics	FR	CAC40	Technology
Teleperformance	FR	CAC40	Customer Service BPO
Thales	FR	CAC40	Industrials
TotalEnergies	FR	CAC40	Energy
Unibail-Rodamco-Westfield	FR	CAC40	Real Estate
Veolia	FR	CAC40	Utilities
Vinci	FR	CAC40	Industrials
